127.0.0.1, 2023-12-19 15:31:05, GET, /, HTTP/1.1, 303, 10.854765
127.0.0.1, 2023-12-19 15:31:05, GET, /welcome/default/index, HTTP/1.1, 500, 0.412992
127.0.0.1, 2023-12-19 15:31:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-12-19 15:31:12, GET, /admin/default/ticket/welcome/127.0.0.1.2023-12-19.15-31-05.e6c001c7-18b2-44b1-b8ad-5467bd4e1799, HTTP/1.1, 303, 0.185000
127.0.0.1, 2023-12-19 15:31:12, GET, /admin/default/index, HTTP/1.1, 200, 0.102000
127.0.0.1, 2023-12-19 15:31:12, GET, /admin/static/_2.21.2/css/calendar.css, HTTP/1.1, 200, 0.032999
127.0.0.1, 2023-12-19 15:31:12, GET, /admin/static/_2.21.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.064999
127.0.0.1, 2023-12-19 15:31:12, GET, /admin/static/_2.21.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.026001
127.0.0.1, 2023-12-19 15:31:12, GET, /admin/static/_2.21.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.016000
127.0.0.1, 2023-12-19 15:31:12, GET, /admin/static/_2.21.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.073003
127.0.0.1, 2023-12-19 15:31:12, GET, /admin/static/_2.21.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001990
127.0.0.1, 2023-12-19 15:31:12, GET, /admin/static/_2.21.2/js/jquery.js, HTTP/1.1, 200, 0.124002
127.0.0.1, 2023-12-19 15:31:12, GET, /admin/static/_2.21.2/js/web2py.js, HTTP/1.1, 200, 0.101000
127.0.0.1, 2023-12-19 15:31:12, GET, /admin/static/_2.21.2/images/questions.png, HTTP/1.1, 200, 0.012998
127.0.0.1, 2023-12-19 15:31:12, GET, /admin/static/_2.21.2/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.066000
127.0.0.1, 2023-12-19 15:31:12, GET, /admin/static/_2.21.2/js/calendar.js, HTTP/1.1, 200, 0.131003
127.0.0.1, 2023-12-19 15:31:12, GET, /admin/static/_2.21.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.065998
127.0.0.1, 2023-12-19 15:31:12, GET, /admin/static/_2.21.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.085999
127.0.0.1, 2023-12-19 15:31:12, GET, /admin/static/_2.21.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.066988
127.0.0.1, 2023-12-19 15:31:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-12-19 15:31:17, POST, /admin/default/index, HTTP/1.1, 303, 0.026001
127.0.0.1, 2023-12-19 15:31:17, GET, /admin/default/ticket/welcome/127.0.0.1.2023-12-19.15-31-05.e6c001c7-18b2-44b1-b8ad-5467bd4e1799, HTTP/1.1, 200, 0.106001
127.0.0.1, 2023-12-19 15:31:17, GET, /admin/static/_2.21.2/images/help.png, HTTP/1.1, 200, 0.022998
127.0.0.1, 2023-12-19 15:31:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
